;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;
0;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;
2;1;1;1;1;1;1;1;1;;;;;;;;1;;;;;9
3;;;;;;;;;;;;;;;;;;;;;
4;1;1;;;1;;;;;;1;1;1;;1;;;;;;7
5;1;1;1;;1;1;1;;;;;;1;;;;;;;;7
6;1;1;;;1;1;;1;;;;1;1;;;;1;;;;8
7;1;1;1;1;1;;1;1;1;;;1;1;;1;1;;;;;12
8;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;
12;1;1;1;1;1;;1;;1;;1;;1;1;;1;1;;1;;13
13;1;1;1;;1;1;1;1;;;;1;1;;;;1;;1;;11
14;1;1;1;1;1;;;1;;;1;1;1;;1;;;;;1;11
15;1;1;1;1;1;1;1;1;;;1;;1;1;;;1;;;;12
16;1;1;;;1;1;1;;1;;1;;1;;1;;;;;1;10
17;;;;;;;;;;;;;;;;;;;;;
18;;1;1;1;1;1;;1;1;;1;;1;;1;;1;;;;11
19;;1;1;;1;;1;;;;;1;1;1;;;1;;;;8
20;;1;;1;1;;1;1;;;1;1;1;;1;;;;;;9
21;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;
23;1;1;1;1;1;;1;1;;;;1;1;1;;1;;;;;11
24;1;1;1;1;1;1;;1;1;;1;;1;1;1;;1;;;;13
25;;;;;;;;;;;;;;;;;;;;;
26;1;1;;1;1;1;;1;;;1;1;1;1;1;;1;1;;;13
27;;;1;1;1;;1;;1;;1;1;1;1;;;1;;;;10
28;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;
31;1;1;1;1;1;1;;1;1;;;;1;;1;1;;;;;11
32;;;;;;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;
40;1;1;;1;1;;1;1;;;1;1;;;;;;;1;;9
41;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;;;;;;
43;;1;1;1;1;;1;1;1;;1;1;1;;1;;;1;1;;13
44;;;;;;;;;;;;;;;;;;;;;
45;1;1;;;1;1;1;1;1;1;1;;1;;1;;;;;;11
46;;;;;;;;;;;;;;;;;;;;;
47;;;;;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;;;;;;;;
50;1;1;;1;1;;1;1;1;1;;;1;1;;;;;;;10
51;;;;;;;;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;;;;;;;
54;;1;1;1;1;1;;1;;1;1;1;1;;1;1;1;;;;13
55;;1;;;1;1;1;1;1;;;;1;;;;;;;1;8
56;;;1;1;1;1;;;;;1;;1;;;1;;1;1;;9
57;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;;;;;
61;;;;;1;;1;;;1;1;1;1;;;;1;1;1;1;10
62;;1;1;1;1;;1;1;1;;1;;1;;;;1;;;;10
63;1;;1;1;1;1;;;1;;1;;1;;;;;1;;;9
64;;;;;;;;;;;;;;;;;;;;;
65;1;1;1;1;1;1;1;1;1;;;1;1;1;;1;;;1;;14
66;;1;;;1;1;1;;;;;1;1;;1;1;;;;;8
67;;;;;;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;;;;;;;;
69;1;;1;1;1;1;1;1;;;;1;1;;1;1;;1;;;12
70;;;;;;;;;;;;;;;;;;;;;
71;1;1;1;1;1;1;1;1;;;;;1;;;1;1;;;;11
72;;;;;;;;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;;;;;;;;
75;1;1;1;;1;;1;;1;;1;;1;;;1;;1;;;10
76;;;;;;;;;;;;;;;;;;;;;
77;1;1;1;;1;1;1;;1;;1;1;1;1;1;1;;;1;;14
78;1;1;;;1;1;1;1;1;;1;1;1;;1;;;;;;11
79;;;;;;;;;;;;;;;;;;;;;
80;;1;;;1;;1;1;;;1;;1;1;;;;;;;7
81;;;;;;;;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;;;;;;
83;1;1;1;1;1;1;1;;;;1;1;;;;;;;;;9
84;;;;;;;;;;;;;;;;;;;;;
85;;1;1;;1;1;;;;;1;1;1;1;1;;1;;1;;11
86;1;;1;1;1;1;;;;;1;;1;;1;;1;;1;;10
87;1;1;;1;1;;;1;1;;1;1;1;;1;;;;1;;11
88;1;1;1;;1;;;1;1;;1;;1;;1;1;;1;;;11
89;1;1;1;;1;;;;;;;1;1;;;;1;;;;7
90;;;;;;;;;;;;;;;;;;;;;
91;1;1;1;1;1;;;1;1;;1;1;1;1;;;;;;;11
92;;;;;;;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;
94;1;1;1;1;1;;;;;;;;1;1;;;1;;1;;9
95;1;1;1;1;1;1;;;1;;1;1;1;;;;;1;;;11
96;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;
99;1;1;;;1;1;1;;1;;1;1;1;;;;1;;1;;11
100;;;;;;;;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;;;;;
102;;;;;;;;;;;;;;;;;;;;;
103;1;1;1;;1;1;;1;;1;;;1;;1;1;;;1;;11
104;;;;;;;;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;;;;;
108;1;1;;;1;;1;1;;1;1;;1;;1;;1;;;;10
109;1;;1;;1;1;1;;1;;1;1;1;1;;;;;;;10
110;1;1;1;1;1;1;1;;;;;1;1;1;1;1;1;;;;13
111;;;;;;;;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;;;;;
114;;;;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;;;;;;;;
116;;;;;;;;;;;;;;;;;;;;;
117;1;1;;1;1;;1;;1;1;;;1;1;;1;;1;;;11
118;;;;;;;;;;;;;;;;;;;;;
119;;;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;
121;;;;;;;;;;;;;;;;;;;;;
122;;;;;;;;;;;;;;;;;;;;;
123;1;1;1;1;1;1;1;1;1;;1;1;1;;;;1;;1;;14
124;;;;;;;;;;;;;;;;;;;;;
125;;;;;;;;;;;;;;;;;;;;;
126;;;;;;;;;;;;;;;;;;;;;
127;;;;;;;;;;;;;;;;;;;;;
128;;;;;;;;;;;;;;;;;;;;;
129;1;;;;1;;;1;1;;1;;1;;;;;;1;;7
130;1;1;;1;1;;;1;;;1;1;1;1;1;1;1;;;;12
131;1;1;;;1;;1;1;1;;1;1;1;;;;1;1;;;11
132;1;1;;1;1;1;;1;;;;;1;;;;1;;;;8
133;1;1;1;1;1;;;;1;;1;1;1;;1;;1;;1;;12
134;1;;;1;1;;1;1;1;;1;;1;1;1;;;;;;10
135;1;1;1;1;1;1;1;;1;;;1;1;;1;;;;;;11
136;1;1;1;1;1;;;;1;1;;;1;;;;;;;;8
137;;;;;;;;;;;;;;;;;;;;;
138;;1;1;1;1;;1;1;1;;;1;1;;;1;;;;;10
139;1;1;1;;1;;1;1;1;;;;1;;;1;;;1;;10
140;;;;;;;;;;;;;;;;;;;;;
141;1;1;1;1;1;1;;1;1;;;;1;1;;;;1;;;11
142;;;;;;;;;;;;;;;;;;;;;
143;;;;;;;;;;;;;;;;;;;;;
144;;;;;;;;;;;;;;;;;;;;;
145;1;;1;1;1;;1;;;;1;1;1;;1;1;;;;;10
146;1;1;1;1;1;;1;1;1;;1;1;1;;1;;;;;;12
147;1;1;;1;1;1;1;1;;;;;1;1;;;1;;;;10
148;1;1;1;1;1;;1;1;1;;;;1;1;;1;1;;;;12
149;1;1;1;1;1;1;1;1;1;;1;;1;;1;1;1;1;;1;16
150;;;;;;;;;;;;;;;;;;;;;
151;1;1;1;1;1;;1;1;1;1;;;1;;;;1;;;;11
152;1;1;1;1;1;1;1;;1;;;1;1;1;1;1;;1;1;;15
153;;;;;;;;;;;;;;;;;;;;;
154;1;1;;1;1;1;1;1;;;1;;1;;;;1;;;;10
155;;1;;1;1;;1;1;1;;1;;1;;1;1;1;1;;;12
156;1;1;;1;1;1;1;1;1;;1;1;1;;;;;;;;11
157;;;;;;;;;;;;;;;;;;;;;
158;1;1;;1;1;;1;;;;1;;1;;;;1;;;;8
159;;1;1;1;1;1;1;;;;1;1;1;;;1;1;;;;11
160;;;;;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;;;;;;;;;;
166;;;1;1;1;;1;1;1;;;;1;;;;1;;1;;9
167;;;;;;;;;;;;;;;;;;;;;
168;;;;;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;;;;;;;;;;
170;1;;;1;1;;1;;;;1;;1;;;;;;;;6
171;;;;;;;;;;;;;;;;;;;;;
172;;1;;1;1;;;1;1;;1;;1;;;;;1;;;8
173;;;;;;;;;;;;;;;;;;;;;
174;;;;;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;;;;;
177;1;1;;1;1;;1;1;1;;1;1;1;1;;;1;;;;12
178;;;;;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;;;;;;;;
180;1;1;1;1;1;1;1;1;1;;;1;1;;1;;1;;;;13
181;1;1;;1;1;;1;1;1;;1;1;1;;1;1;1;;1;;14
182;;;;;;;;;;;;;;;;;;;;;
183;;;;;;;;;;;;;;;;;;;;;
184;;1;1;1;1;1;1;;1;;1;1;1;1;1;;1;;1;;14
185;;;;;;;;;;;;;;;;;;;;;
186;1;1;;1;1;1;1;;;1;1;1;1;1;1;;;;1;;13
187;;1;;1;1;1;1;1;;;;;1;;;;;1;;;8
188;;;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;;;;;;;;
191;;1;;1;1;1;1;1;1;;1;;1;;1;;;;;;10
192;;;;;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;;;;;;;;;;
194;;;;;;;;;;;;;;;;;;;;;
195;;;;;;;;;;;;;;;;;;;;;
196;1;1;1;1;1;1;;;;;;1;1;;1;1;;;1;;11
197;;;;;;;;;;;;;;;;;;;;;
198;;;;;;;;;;;;;;;;;;;;;
199;1;1;;1;1;1;1;1;;;;;1;;;1;;;;;9
total;66;75;52;63;87;46;60;54;48;10;53;45;84;26;38;29;38;17;24;5;10,57471264
